epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.648,1.42718,1.12024,1.29498,0.83893,0.65579,0.73951,0.4462,1.42179,1.015,1.30841,0.00066587,0.00066587,0.00066587
2,500.009,1.41055,0.99227,1.29798,0.85554,0.66968,0.75538,0.47158,1.36487,0.89506,1.28925,0.00120062,0.00120062,0.00120062
3,718.385,1.34131,0.89886,1.25972,0.8679,0.69589,0.78732,0.49701,1.32296,0.82652,1.24565,0.00160336,0.00160336,0.00160336
4,1053.31,1.30058,0.83178,1.23344,0.87309,0.73276,0.81727,0.51489,1.27862,0.76288,1.22382,0.001406,0.001406,0.001406
5,1348.07,1.2596,0.77295,1.20302,0.88422,0.74229,0.82545,0.53147,1.25018,0.71912,1.20218,0.001208,0.001208,0.001208
6,1630.75,1.22413,0.72097,1.17747,0.88049,0.76903,0.845,0.54915,1.22405,0.67274,1.18435,0.00101,0.00101,0.00101
7,1854.85,1.19965,0.68722,1.15863,0.87964,0.77881,0.85106,0.5538,1.20763,0.65423,1.16827,0.000812,0.000812,0.000812
8,2148.54,1.1739,0.65088,1.14167,0.87374,0.80202,0.86642,0.57195,1.17957,0.61281,1.14249,0.000614,0.000614,0.000614
9,2377.39,1.15431,0.624,1.13256,0.88397,0.80027,0.8733,0.57786,1.17172,0.59408,1.14134,0.000416,0.000416,0.000416
10,2648.02,1.13059,0.58638,1.1178,0.88256,0.81328,0.88,0.58738,1.1553,0.56421,1.13066,0.000218,0.000218,0.000218
